epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,582.075,1.09074,0.78628,1.17664,0.92157,1,0.98141,0.71937,0.99672,0.69224,1.17116,0.0011684,0.0011684,0.0011684
44,594.884,0.98023,0.67959,1.03654,0.86168,1,0.96177,0.68544,1.03104,0.72958,1.20828,0.0011486,0.0011486,0.0011486
45,608.012,1.06281,0.72495,1.12395,0.88841,0.99529,0.98209,0.68728,1.06203,0.7166,1.21734,0.0011288,0.0011288,0.0011288
46,621.077,0.96056,0.67249,1.02164,0.94584,0.975,0.9908,0.68666,1.04892,0.67435,1.1539,0.001109,0.001109,0.001109
47,634.082,1.04852,0.76626,1.07749,0.96308,0.95,0.98915,0.70672,1.01343,0.65551,1.13358,0.0010892,0.0010892,0.0010892
48,646.8,1.04014,0.72266,1.06732,0.98787,0.975,0.99451,0.72197,0.98106,0.6644,1.11598,0.0010694,0.0010694,0.0010694
49,659.79,1.02149,0.6611,1.06574,1,0.99201,0.995,0.73085,0.98896,0.64403,1.11844,0.0010496,0.0010496,0.0010496
50,672.938,1.07069,0.75374,1.10735,0.985,0.975,0.99451,0.70633,1.03873,0.66417,1.14547,0.0010298,0.0010298,0.0010298
51,685.373,0.97206,0.65853,1.02017,0.99936,0.975,0.9936,0.70944,1.02732,0.63684,1.16013,0.00101,0.00101,0.00101
52,697.584,0.94376,0.64569,1.03575,1,0.99532,0.995,0.70813,1.02125,0.61415,1.18165,0.0009902,0.0009902,0.0009902
53,709.974,0.93378,0.67343,1.05165,0.97623,0.975,0.99451,0.71193,1.00086,0.62433,1.17788,0.0009704,0.0009704,0.0009704
54,723.115,0.97173,0.65206,1.04059,0.97866,0.975,0.99451,0.70917,1.04804,0.63057,1.20895,0.0009506,0.0009506,0.0009506
55,736.08,1.03558,0.64977,1.05532,1,0.99984,0.995,0.67984,1.06942,0.63016,1.22206,0.0009308,0.0009308,0.0009308
56,748.219,0.92596,0.66679,0.99865,0.97136,1,0.995,0.68102,1.09804,0.66417,1.21898,0.000911,0.000911,0.000911
57,760.1,0.9807,0.65227,1.09446,0.96935,1,0.99378,0.6944,1.05704,0.63406,1.19454,0.0008912,0.0008912,0.0008912
58,772.082,1.00191,0.61713,1.08546,0.97491,0.97167,0.97984,0.68094,1.0489,0.63496,1.18499,0.0008714,0.0008714,0.0008714
59,784.566,1.00285,0.6275,1.0341,0.95088,0.96812,0.97915,0.71521,1.00785,0.63783,1.16037,0.0008516,0.0008516,0.0008516
60,797.252,0.95144,0.6454,1.02947,1,0.99417,0.995,0.71338,1.01511,0.63871,1.15466,0.0008318,0.0008318,0.0008318
61,809.864,0.96508,0.6368,1.02329,1,0.98969,0.995,0.71354,1.01073,0.61448,1.14494,0.000812,0.000812,0.000812
62,821.932,0.8771,0.62284,1.01717,0.97031,1,0.99451,0.70677,1.0374,0.59273,1.14976,0.0007922,0.0007922,0.0007922
63,835.317,0.90948,0.61688,0.99867,0.97242,1,0.99451,0.71607,1.03644,0.58673,1.15175,0.0007724,0.0007724,0.0007724
64,848.514,0.99945,0.60685,1.07238,0.9738,1,0.99329,0.72109,1.03286,0.55314,1.15665,0.0007526,0.0007526,0.0007526
65,861.196,0.96845,0.6297,1.04843,0.97072,1,0.99329,0.72505,1.04025,0.53897,1.16666,0.0007328,0.0007328,0.0007328
66,873.604,0.89768,0.6028,1.02807,0.97257,1,0.99378,0.72838,1.00775,0.51768,1.1626,0.000713,0.000713,0.000713
67,886.628,0.9245,0.59792,1.02911,0.97293,1,0.99378,0.73329,0.99899,0.51612,1.15559,0.0006932,0.0006932,0.0006932
68,899.151,0.91382,0.58509,1.01045,0.97313,1,0.99451,0.74363,0.96812,0.52804,1.13769,0.0006734,0.0006734,0.0006734
69,911.889,0.93905,0.59989,1.021,0.97482,1,0.995,0.74368,0.95205,0.53905,1.12977,0.0006536,0.0006536,0.0006536
70,924.011,0.92016,0.57555,1.02103,1,0.99186,0.995,0.73411,0.92989,0.53195,1.12227,0.0006338,0.0006338,0.0006338
71,936.131,0.87618,0.57184,0.97089,1,0.99205,0.995,0.73011,0.92365,0.53193,1.12137,0.000614,0.000614,0.000614
72,948.673,0.91675,0.57821,1.02782,0.97208,1,0.99451,0.73589,0.93718,0.5426,1.11879,0.0005942,0.0005942,0.0005942
73,961.317,0.7947,0.56688,0.95685,0.97172,1,0.99451,0.72326,0.9454,0.54033,1.1185,0.0005744,0.0005744,0.0005744
74,974.307,0.84024,0.53314,0.98949,0.97203,1,0.99451,0.72427,0.9785,0.53144,1.13195,0.0005546,0.0005546,0.0005546
75,986.376,0.83568,0.60652,0.99631,0.9718,1,0.99451,0.73294,0.98062,0.53664,1.13485,0.0005348,0.0005348,0.0005348
76,999.057,0.85425,0.5617,0.97779,1,0.99133,0.995,0.70985,0.9832,0.54318,1.14111,0.000515,0.000515,0.000515
77,1010.79,0.89316,0.56753,1.01348,0.97224,1,0.99451,0.72543,0.97494,0.53226,1.13877,0.0004952,0.0004952,0.0004952
78,1022.32,0.81856,0.52899,0.97382,0.97164,1,0.99451,0.75211,0.92429,0.5048,1.11614,0.0004754,0.0004754,0.0004754
79,1034.07,0.83742,0.52301,0.99178,0.99666,0.975,0.99451,0.76145,0.9014,0.50317,1.10966,0.0004556,0.0004556,0.0004556
80,1045.64,0.85147,0.52885,0.98083,0.99641,0.975,0.99451,0.77062,0.87436,0.49801,1.10872,0.0004358,0.0004358,0.0004358
81,1057.32,0.84313,0.52981,0.99512,1,0.99563,0.995,0.76773,0.87579,0.494,1.10508,0.000416,0.000416,0.000416
82,1068.98,0.8753,0.56287,1.00369,0.97112,1,0.99451,0.76629,0.90648,0.50637,1.11778,0.0003962,0.0003962,0.0003962
83,1080.68,0.8656,0.53544,0.99882,1,0.9942,0.995,0.75845,0.91521,0.50716,1.12415,0.0003764,0.0003764,0.0003764
84,1092.3,0.80886,0.51801,0.99644,1,0.99504,0.995,0.76255,0.91599,0.49732,1.12082,0.0003566,0.0003566,0.0003566
